hours_studied,hours_slept,attendance_percent,previous_score,test_score
3.7,5.9,90.4,58.8,59.3
9.5,5.4,94.8,46.2,79.2
7.3,8.1,65.9,90.9,76.7
6.0,5.8,55.5,88.3,64.0
1.6,5.4,61.4,54.2,39.6
1.6,6.7,71.4,76.3,46.9
0.6,4.7,90.9,84.9,53.8
8.7,8.0,93.0,70.5,85.6
6.0,4.4,50.3,69.1,57.3
7.1,8.9,75.5,53.3,63.5
0.2,7.9,70.9,45.1,42.6
9.7,5.0,61.1,89.3,78.7
8.3,4.0,56.0,89.5,66.6
2.1,8.1,66.9,74.8,55.0
1.8,7.5,97.1,58.6,58.0
1.8,7.6,66.2,59.2,44.2
3.0,7.9,75.9,79.9,62.5
5.2,4.4,85.2,89.3,71.6
4.3,5.8,68.2,88.8,67.1
2.9,4.6,98.6,82.9,68.9
6.1,8.3,98.1,75.3,71.4
1.4,7.1,62.6,44.6,38.5
2.9,5.7,74.9,48.9,52.3
3.7,4.3,65.0,89.4,60.5
4.6,5.6,64.2,73.4,60.6
7.9,5.6,51.8,40.5,72.5
2.0,7.6,80.5,45.6,52.6
5.1,7.2,75.1,76.5,70.4
5.9,8.4,52.6,40.3,57.8
0.5,6.4,63.9,48.8,42.6
6.1,4.6,95.4,70.2,69.5
1.7,7.6,62.0,78.1,55.0
0.7,7.8,57.2,75.9,43.9
9.5,6.8,74.5,52.3,72.4
9.7,7.9,99.3,79.2,87.4
8.1,6.5,62.1,53.0,65.3
3.0,6.6,83.6,57.9,65.7
1.0,6.1,88.1,81.1,49.1
6.8,4.1,61.9,75.7,66.5
4.4,4.5,86.4,86.7,60.2
1.2,4.2,68.4,76.2,46.1
5.0,7.2,81.6,71.3,70.6
0.3,5.6,81.7,45.2,43.2
9.1,6.5,76.8,60.2,70.0
2.6,8.5,54.5,54.6,44.8
6.6,5.2,91.8,53.4,70.4
3.1,6.1,66.0,93.5,56.9
5.2,7.8,59.3,61.6,59.3
5.5,5.1,52.0,89.1,61.3
1.8,4.4,79.5,74.7,50.5
9.7,5.4,83.9,83.7,91.7
7.8,4.8,50.8,67.6,64.9
9.4,8.6,75.6,71.7,72.0
8.9,8.0,61.3,67.1,73.2
6.0,7.2,82.3,50.7,61.8
9.2,8.4,58.7,79.7,79.6
0.9,8.0,84.5,55.4,47.7
2.0,4.9,69.3,41.3,42.4
0.5,8.5,96.8,75.5,60.9
3.3,6.7,56.9,49.7,50.9
