hours_studied,hours_slept,attendance_percent,previous_score,passed_exam
5.1,7.8,64.7,46.8,0
11.5,6.9,69.3,94.5,1
9.1,5.7,92.6,76.4,0
7.6,8.5,65.8,59.4,1
2.7,7.8,58.5,48.1,0
2.7,4.9,77.8,86.1,0
1.6,9.0,96.8,76.0,1
10.5,8.5,84.8,70.9,1
7.6,9.2,78.5,91.8,1
8.8,8.0,54.9,85.7,1
1.2,7.4,80.8,48.8,0
11.7,6.3,99.5,58.1,0
10.2,9.1,57.0,54.4,0
3.3,8.8,75.9,83.1,0
3.0,4.2,93.9,41.9,0
3.0,4.1,87.0,73.1,1
4.3,6.1,84.9,84.2,1
6.8,8.5,85.1,90.9,1
5.8,9.4,68.0,59.8,1
4.2,4.8,64.7,87.6,0
7.7,7.3,90.5,46.4,0
2.5,6.1,90.5,89.1,0
4.2,9.3,93.4,47.4,1
5.0,8.6,95.7,63.0,0
6.0,8.6,75.6,86.2,0
9.6,6.6,75.1,48.7,1
3.2,6.3,89.9,53.3,1
6.7,5.5,82.5,81.9,0
7.5,4.3,85.1,81.8,1
1.5,8.8,89.8,77.2,1
7.7,8.5,94.5,80.2,1
2.9,9.5,66.9,71.5,0
1.7,9.5,68.8,54.6,0
11.4,7.1,54.7,60.1,1
11.6,8.2,78.9,50.5,1
9.9,9.2,51.8,92.7,1
4.4,8.7,73.3,73.8,0
2.1,5.4,77.1,63.2,0
8.5,6.5,64.3,66.8,0
5.8,4.7,79.5,94.9,1
2.3,9.2,51.5,48.9,0
6.4,7.3,51.9,74.0,1
1.4,5.3,91.1,69.3,0
11.0,7.7,68.0,75.5,1
3.8,7.4,56.4,41.1,0
8.3,6.0,76.1,90.6,1
4.4,4.6,88.5,94.1,1
6.7,7.7,60.8,72.8,0
7.0,6.9,81.1,80.4,0
3.0,8.2,54.3,93.5,0
11.7,6.9,52.6,81.0,0
9.5,8.7,76.6,48.8,1
11.3,7.0,77.0,73.4,0
10.8,7.1,81.9,75.2,1
7.6,8.8,86.3,64.6,0
11.1,6.2,98.8,82.7,1
2.0,4.7,75.8,94.2,1
3.2,4.2,66.1,93.7,0
1.5,8.2,89.8,66.1,0
4.6,7.4,63.5,46.6,0
5.3,7.9,71.9,97.1,0
4.0,5.2,53.9,88.7,1
10.1,4.8,51.3,47.2,0
4.9,4.1,98.1,93.4,1
4.1,5.9,91.8,90.5,1
7.0,7.2,84.8,70.1,0
2.6,6.2,70.4,74.3,0
9.8,6.4,58.7,63.1,0
1.8,9.0,57.8,43.2,0
11.9,5.9,62.5,59.4,1
9.5,6.8,77.5,86.6,1
3.2,8.3,85.7,40.3,0
1.1,6.2,83.0,59.3,0
10.0,7.4,64.0,63.1,1
8.8,8.7,97.7,71.2,0
9.0,9.2,86.9,93.4,1
9.5,4.8,77.7,60.1,1
1.8,9.1,80.6,60.1,0
4.9,6.7,71.0,82.8,0
2.3,5.4,62.4,66.2,1
10.5,6.5,67.8,53.0,0
7.9,9.4,87.9,66.2,1
4.6,6.7,50.7,48.2,0
1.7,5.8,55.8,50.2,0
4.4,7.5,52.3,68.9,1
4.6,5.3,52.0,64.3,0
9.0,4.4,92.8,93.1,1
8.0,4.7,85.2,61.0,1
10.8,4.7,73.7,73.7,0
6.2,4.8,54.9,76.7,0
2.3,4.8,74.6,40.8,0
8.8,7.5,73.7,78.5,1
9.4,5.0,58.7,50.3,0
7.2,5.9,71.7,95.7,1
9.5,8.9,69.9,48.6,1
6.4,6.6,80.8,64.0,0
6.8,7.7,81.8,45.0,0
5.7,4.9,52.3,97.8,0
1.3,5.1,68.7,69.1,0
2.2,4.2,81.3,74.5,0
1.3,4.9,75.2,43.9,0
8.0,5.5,92.8,83.5,0
4.5,5.0,82.9,52.2,1
6.6,4.5,58.1,92.1,1
11.0,4.7,53.5,51.9,1
3.7,6.5,82.1,51.1,0
5.5,5.1,51.3,42.1,0
9.3,6.0,79.3,67.4,0
3.5,6.8,97.0,72.8,0
1.8,7.8,78.8,43.8,0
4.2,4.2,69.4,85.0,1
2.8,8.4,82.2,66.3,0
11.2,7.5,72.9,70.4,1
9.9,4.4,77.3,65.6,1
8.0,8.8,97.1,63.2,1
10.6,9.1,69.3,72.5,1
9.8,4.3,98.1,49.0,1
3.1,5.5,95.3,50.6,1
10.8,8.4,59.8,90.0,1
6.9,8.1,53.5,94.9,1
9.9,5.0,55.0,61.7,1
10.9,5.2,50.9,55.7,1
4.5,6.0,54.7,77.4,1
2.2,6.7,84.2,63.7,0
3.5,7.4,53.6,41.5,0
5.7,6.0,65.9,49.1,0
10.0,6.5,92.2,81.5,1
10.5,8.1,51.2,78.2,1
1.1,4.2,90.7,41.6,0
6.6,5.4,64.1,52.9,0
5.6,7.9,55.9,53.4,0
3.4,8.9,84.8,79.0,1
2.3,6.8,81.4,41.1,0
4.7,6.9,93.9,46.0,0
11.4,4.6,86.8,86.4,1
4.6,6.5,90.2,50.4,0
6.7,6.9,64.1,77.9,1
8.7,5.3,58.9,53.8,0
5.0,5.5,87.5,45.8,0
11.7,6.1,90.3,54.1,1
11.6,4.1,99.5,81.9,1
3.8,5.8,70.6,89.6,0
6.5,5.2,68.6,88.2,1
4.3,5.8,88.8,63.0,0
4.1,4.7,67.0,78.7,0
1.4,8.9,96.5,51.9,1
7.7,7.3,92.9,57.0,0
6.5,7.7,71.4,92.0,1
1.6,8.3,87.5,40.8,0
4.1,6.7,87.7,45.0,1
11.0,4.5,55.2,52.1,1
3.6,7.0,95.1,41.5,1
2.6,7.2,75.3,50.5,0
6.4,8.1,91.3,73.8,1
11.8,6.4,66.0,64.4,1
3.7,4.7,94.8,91.8,0
8.4,5.6,69.5,87.4,1
9.4,6.0,50.5,59.8,1
3.6,7.6,95.3,55.0,1
9.0,7.1,54.6,62.0,0
5.0,6.0,66.0,74.2,1
8.0,9.4,97.5,55.5,1
8.0,7.3,97.5,76.2,1
6.9,5.3,78.7,63.7,1
2.0,4.6,81.6,72.0,0
10.2,4.8,72.4,65.3,0
4.5,5.4,64.7,57.1,0
3.1,4.9,66.4,95.0,0
1.4,5.0,83.6,84.3,0
7.5,5.6,87.6,48.1,0
8.5,5.0,89.6,90.4,1
1.2,8.9,89.5,68.3,1
6.6,4.4,54.6,91.9,0
3.5,6.9,74.7,86.4,0
8.1,6.3,52.9,64.7,0
2.9,9.4,77.5,41.3,0
8.6,4.6,72.1,55.6,1
5.3,6.2,94.4,71.4,1
11.3,9.3,67.5,76.7,1
